TurbID,Day,Tmstamp,Wspd,Wdir,Etmp,Itmp,Ndir,Pab1,Pab2,Pab3,Prtv,Patv
1,201,00:00,4.57,0.02,11.56,29.01,196.1,0.99,0.99,0.99,-0.28,284.93
1,201,00:10,5.04,2.73,9.71,27.95,196.15,0.99,0.99,0.99,-0.29,353.49
1,201,00:20,5.12,2.85,10.63,27.97,196.15,0.99,0.99,0.99,-0.3,351.27
1,201,00:30,4.95,4.76,10.32,28.08,196.15,0.99,0.99,0.99,-0.27,303.77
1,201,00:40,5.07,4.01,9.65,27.32,196.89,0.99,0.99,0.99,-0.31,318.23
1,201,00:50,4.45,0.22,10.81,28.24,204.1,0.99,0.99,0.99,-0.27,262.27
1,201,01:00,3.94,1.33,9.57,27.57,204.1,0.99,0.99,0.99,-0.28,207.1
1,201,01:10,4.18,-3.18,10.12,27.7,201.6,0.99,0.99,0.99,-0.27,254.37
1,201,01:20,3.13,0.02,10.89,28.63,188.57,0.99,0.99,0.99,-0.26,133.03
1,201,01:30,3.45,0.57,11.3,29.09,195.54,0.99,0.99,0.99,-0.27,151.17
1,201,01:40,3.42,1.87,11.07,29.06,195.57,0.99,0.99,0.99,-0.27,146.18
1,201,01:50,2.28,1.02,9.59,27.74,195.58,0.99,0.99,0.99,-0.26,89.56
1,201,02:00,2.83,-0.09,10.94,28.9,195.58,0.99,0.99,0.99,-0.29,116.21
1,201,02:10,5.54,3.2,11.25,29.25,195.94,0.99,0.99,0.99,-0.3,420.4
1,201,02:20,7.49,3.03,9.63,28.14,203.2,1.0,1.0,1.0,-0.22,787.51
1,201,02:30,5.77,4.14,8.53,26.95,204.67,0.99,0.99,0.99,-0.28,496.14
1,201,02:40,5.23,1.17,8.32,26.31,210.79,0.99,0.99,0.99,-0.27,362.0
1,201,02:50,4.79,-0.82,9.62,27.18,210.79,0.99,0.99,0.99,-0.27,274.87
1,201,03:00,3.51,4.38,10.52,28.22,210.79,0.99,0.99,0.99,-0.25,152.04
1,201,03:10,3.34,3.47,10.79,28.65,215.57,0.99,0.99,0.99,-0.26,146.4
1,201,03:20,3.49,-2.77,9.55,27.51,219.39,0.99,0.99,0.99,-0.27,149.36
1,201,03:30,3.43,-5.39,10.61,28.48,219.39,0.99,0.99,0.99,-0.26,126.44
1,201,03:40,3.53,-2.66,11.05,29.01,212.15,0.99,0.99,0.99,-0.27,140.55
1,201,03:50,3.54,-4.78,11.14,29.21,210.79,0.99,0.99,0.99,-0.25,141.87
